#{"t_start": 1651387311.3162405, "env_id": "cruise-ctrl-v0"}
r,l,t
2.132961,101,239.226623
2.049301,101,239.798512
2.098418,101,240.368179
2.8819,101,240.937235
2.362042,101,241.507141
2.460013,101,242.076126
-7.944689,6,242.110437
2.62443,101,242.678874
2.312087,101,243.24764
2.944533,101,243.817645
2.792964,101,244.389851
2.518238,101,244.958551
2.135856,101,245.52844
2.136104,101,246.098435
1.811518,101,246.667333
3.307474,101,247.23518
2.245764,101,247.805202
1.741888,101,248.373247
2.177713,101,248.944604
2.313202,101,249.512244
2.84475,101,250.083436
2.245831,101,250.651913
1.972814,101,251.22113
1.652938,101,251.791045
2.675436,101,252.362033
3.418978,101,252.937099
3.27106,101,253.504329
1.689556,101,254.072064
3.238923,101,254.640239
2.905098,101,255.207131
2.832165,101,255.776984
2.827539,101,256.343333
1.879991,101,256.909833
-7.854671,5,256.938159
2.556813,101,257.506007
2.95626,101,258.073146
2.008593,101,258.647197
-7.665094,9,258.699051
1.038633,101,259.266424
-7.690461,8,259.312104
1.9553,101,259.88082
2.605044,101,260.449905
2.621884,101,261.018297
2.001722,101,261.588904
2.895747,101,262.157615
-8.267378,7,262.198213
1.901483,101,262.766401
3.265795,101,263.33445
2.541911,101,263.902942
2.331257,101,264.47205
1.731075,101,265.040771
2.157653,101,265.608296
2.452382,101,266.175979
2.520655,101,266.744696
1.945505,101,267.315447
2.742756,101,267.890603
1.537012,101,268.463242
2.413898,101,269.03665
2.229816,101,269.609571
3.304653,101,270.183256
3.244975,101,270.754638
2.633353,101,271.327419
1.850526,101,271.898879
2.163145,101,272.473666
2.759759,101,273.045671
1.580311,101,273.616166
3.087651,101,274.184855
3.845384,101,274.755461
2.641745,101,275.324618
2.308166,101,275.895644
1.943248,101,276.465096
2.889525,101,277.035293
1.546016,101,277.605023
3.105935,101,278.177664
2.217664,101,278.749064
2.199902,101,279.3179
2.843744,101,279.888968
2.479903,101,280.458712
2.508609,101,281.028822
2.687719,101,281.600045
2.023784,101,282.169845
3.116228,101,282.741145
